Fecha DMA;Latitud;Longitud;Tip. LANCE;N LANCE;TALLA
01/03/2008;22;106;LANATUN;68;78
01/03/2008;22;106;LANATUN;68;75
01/03/2008;22;106;LANATUN;68;83
01/03/2008;22;106;LANATUN;68;70
01/03/2008;22;106;LANATUN;68;71
01/03/2008;22;106;LANATUN;68;83
01/03/2008;22;106;LANATUN;68;71
01/03/2008;22;106;LANATUN;68;75
01/03/2008;22;106;LANATUN;68;73
01/03/2008;22;106;LANATUN;68;72
01/03/2008;22;106;LANATUN;68;73
01/03/2008;22;106;LANATUN;68;72
01/03/2008;22;106;LANATUN;68;64
01/03/2008;22;106;LANATUN;68;67
01/03/2008;22;106;LANATUN;68;66
01/03/2008;22;106;LANATUN;68;140
01/03/2008;22;106;LANATUN;68;75
01/03/2008;22;106;LANATUN;68;138
01/03/2008;22;106;LANATUN;68;86
01/03/2008;22;106;LANATUN;68;82
01/03/2008;22;106;LANATUN;68;71
01/03/2008;22;106;LANATUN;68;69
01/03/2008;22;106;LANATUN;68;83
01/03/2008;22;106;LANATUN;68;82
01/03/2008;22;106;LANATUN;68;74
22/02/2008;15;94;LANATUN;22;58
22/02/2008;15;94;LANATUN;22;65
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;58
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;55
22/02/2008;15;94;LANATUN;22;45
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;72
22/02/2008;15;94;LANATUN;22;65
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;68
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;55
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;68
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;65
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;50
22/02/2008;15;94;LANATUN;22;68
22/02/2008;15;94;LANATUN;22;90
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;68
22/02/2008;15;94;LANATUN;22;71
22/02/2008;15;94;LANATUN;22;68
22/02/2008;15;94;LANATUN;22;55
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;50
22/02/2008;15;94;LANATUN;22;55
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;70
22/02/2008;15;94;LANATUN;22;65
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;55
22/02/2008;15;94;LANATUN;22;58
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;57
22/02/2008;15;94;LANATUN;22;60
22/02/2008;15;94;LANATUN;22;58
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;45
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;65
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;55
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;61
22/02/2008;15;94;LANATUN;23;58
22/02/2008;15;94;LANATUN;23;61
22/02/2008;15;94;LANATUN;23;70
22/02/2008;15;94;LANATUN;23;65
22/02/2008;15;94;LANATUN;23;70
22/02/2008;15;94;LANATUN;23;62
22/02/2008;15;94;LANATUN;23;61
22/02/2008;15;94;LANATUN;23;58
22/02/2008;15;94;LANATUN;23;68
22/02/2008;15;94;LANATUN;23;70
22/02/2008;15;94;LANATUN;23;58
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;45
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;45
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;71
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;58
22/02/2008;15;94;LANATUN;23;61
22/02/2008;15;94;LANATUN;23;71
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;57
22/02/2008;15;94;LANATUN;23;60
22/02/2008;15;94;LANATUN;23;50
22/02/2008;15;94;LANATUN;23;45
22/02/2008;15;94;LANATUN;23;68
22/02/2008;15;94;LANATUN;23;70
23/02/2008;15;93;LANATUN;26;68
23/02/2008;15;93;LANATUN;26;75
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;45
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;55
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;58
23/02/2008;15;93;LANATUN;26;45
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;58
23/02/2008;15;93;LANATUN;26;47
23/02/2008;15;93;LANATUN;26;58
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;70
23/02/2008;15;93;LANATUN;26;65
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;71
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;65
23/02/2008;15;93;LANATUN;26;70
23/02/2008;15;93;LANATUN;26;65
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;70
23/02/2008;15;93;LANATUN;26;39
23/02/2008;15;93;LANATUN;26;40
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;55
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;50
23/02/2008;15;93;LANATUN;26;70
23/02/2008;15;93;LANATUN;26;60
23/02/2008;15;93;LANATUN;26;70
23/02/2008;15;93;LANATUN;26;65
23/02/2008;15;93;LANATUN;26;68
23/02/2008;15;93;LANATUN;26;47
23/02/2008;15;93;LANATUN;26;45
24/02/2008;14;93;LANATUN;29;58
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;61
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;70
24/02/2008;14;93;LANATUN;29;65
24/02/2008;14;93;LANATUN;29;70
24/02/2008;14;93;LANATUN;29;68
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;55
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;58
24/02/2008;14;93;LANATUN;29;40
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;47
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;45
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;48
24/02/2008;14;93;LANATUN;29;45
24/02/2008;14;93;LANATUN;29;40
24/02/2008;14;93;LANATUN;29;70
24/02/2008;14;93;LANATUN;29;68
24/02/2008;14;93;LANATUN;29;58
24/02/2008;14;93;LANATUN;29;57
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;57
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;55
24/02/2008;14;93;LANATUN;29;70
24/02/2008;14;93;LANATUN;29;68
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;61
24/02/2008;14;93;LANATUN;29;70
24/02/2008;14;93;LANATUN;29;72
24/02/2008;14;93;LANATUN;29;68
24/02/2008;14;93;LANATUN;29;50
24/02/2008;14;93;LANATUN;29;71
24/02/2008;14;93;LANATUN;29;55
24/02/2008;14;93;LANATUN;29;60
24/02/2008;14;93;LANATUN;29;72
24/02/2008;14;93;LANATUN;29;68
16/02/2008;10;99;LANATUN;18;97
16/02/2008;10;99;LANATUN;18;91
16/02/2008;10;99;LANATUN;18;91
16/02/2008;10;99;LANATUN;18;87
16/02/2008;10;99;LANATUN;18;72
16/02/2008;10;99;LANATUN;18;69
16/02/2008;10;99;LANATUN;18;81
16/02/2008;10;99;LANATUN;18;97
16/02/2008;10;99;LANATUN;18;104
16/02/2008;10;99;LANATUN;18;134
16/02/2008;10;99;LANATUN;18;97
16/02/2008;10;99;LANATUN;18;94
16/02/2008;10;99;LANATUN;18;107
16/02/2008;10;99;LANATUN;18;124
16/02/2008;10;99;LANATUN;18;93
16/02/2008;10;99;LANATUN;18;99
16/02/2008;10;99;LANATUN;18;99
16/02/2008;10;99;LANATUN;18;100
16/02/2008;10;99;LANATUN;18;118
16/02/2008;10;99;LANATUN;18;94
16/02/2008;10;99;LANATUN;18;93
16/02/2008;10;99;LANATUN;18;90
16/02/2008;10;99;LANATUN;18;81
16/02/2008;10;99;LANATUN;18;97
16/02/2008;10;99;LANATUN;18;89
16/02/2008;10;99;LANATUN;18;72
16/02/2008;10;99;LANATUN;18;91
16/02/2008;10;99;LANATUN;18;73
16/02/2008;10;99;LANATUN;18;84
16/02/2008;10;99;LANATUN;18;97
16/02/2008;10;99;LANATUN;18;111
16/02/2008;10;99;LANATUN;18;111
16/02/2008;10;99;LANATUN;18;73
16/02/2008;10;99;LANATUN;18;91
16/02/2008;10;99;LANATUN;18;98
16/02/2008;10;99;LANATUN;18;98
16/02/2008;10;99;LANATUN;18;104
16/02/2008;10;99;LANATUN;18;121
16/02/2008;10;99;LANATUN;18;140
16/02/2008;10;99;LANATUN;18;72
16/02/2008;10;99;LANATUN;18;70
12/03/2008;6;101;LANATUN;33;93
12/03/2008;6;101;LANATUN;33;117
12/03/2008;6;101;LANATUN;33;92
12/03/2008;6;101;LANATUN;33;94
12/03/2008;6;101;LANATUN;33;91
12/03/2008;6;101;LANATUN;33;90
12/03/2008;6;101;LANATUN;33;74
12/03/2008;6;101;LANATUN;33;111
12/03/2008;6;101;LANATUN;33;98
12/03/2008;6;101;LANATUN;33;88
12/03/2008;6;101;LANATUN;33;84
12/03/2008;6;101;LANATUN;33;59
12/03/2008;6;101;LANATUN;33;62
12/03/2008;6;101;LANATUN;33;71
12/03/2008;6;101;LANATUN;33;71
12/03/2008;6;101;LANATUN;33;71
12/03/2008;6;101;LANATUN;33;99
12/03/2008;6;101;LANATUN;33;117
12/03/2008;6;101;LANATUN;33;121
12/03/2008;6;101;LANATUN;33;91
12/03/2008;6;101;LANATUN;33;101
12/03/2008;6;101;LANATUN;33;94
12/03/2008;6;101;LANATUN;33;91
12/03/2008;6;101;LANATUN;33;117
12/03/2008;6;101;LANATUN;33;119
12/03/2008;6;101;LANATUN;33;91
12/03/2008;6;101;LANATUN;33;90
12/03/2008;6;101;LANATUN;33;94
12/03/2008;6;101;LANATUN;33;97
12/03/2008;6;101;LANATUN;33;91
12/03/2008;6;101;LANATUN;33;80
12/03/2008;6;101;LANATUN;33;89
12/03/2008;6;101;LANATUN;33;72
12/03/2008;6;101;LANATUN;33;77
12/03/2008;6;101;LANATUN;33;77
12/03/2008;6;101;LANATUN;33;104
12/03/2008;6;101;LANATUN;33;93
12/03/2008;6;101;LANATUN;33;111
12/03/2008;6;101;LANATUN;33;96
12/03/2008;6;101;LANATUN;33;96
19/03/2008;18;112;LANATUN;29;59
19/03/2008;18;112;LANATUN;29;60
19/03/2008;18;112;LANATUN;29;70
19/03/2008;18;112;LANATUN;29;75
19/03/2008;18;112;LANATUN;29;60
19/03/2008;18;112;LANATUN;29;65
19/03/2008;18;112;LANATUN;29;66
19/03/2008;18;112;LANATUN;29;70
19/03/2008;18;112;LANATUN;29;70
19/03/2008;18;112;LANATUN;29;75
19/03/2008;18;112;LANATUN;29;60
19/03/2008;18;112;LANATUN;29;60
19/03/2008;18;112;LANATUN;29;60
19/03/2008;18;112;LANATUN;29;69
19/03/2008;18;112;LANATUN;29;72
19/03/2008;18;112;LANATUN;29;70
14/03/2008;7;103;LANATUN;25;54
14/03/2008;7;103;LANATUN;25;48
14/03/2008;7;103;LANATUN;25;62
14/03/2008;7;103;LANATUN;25;66
14/03/2008;7;103;LANATUN;25;51
14/03/2008;7;103;LANATUN;25;43
14/03/2008;7;103;LANATUN;25;68
14/03/2008;7;103;LANATUN;25;52
