FECHA DMA;LATITUD;LONGITUD;TIPO DE LANCE;TALLA
18/01/2009;22;106;LANMAM;63
18/01/2009;22;106;LANMAM;82
18/01/2009;22;106;LANMAM;51
18/01/2009;22;106;LANMAM;63
18/01/2009;22;106;LANMAM;78
18/01/2009;22;106;LANMAM;65
18/01/2009;22;106;LANMAM;54
18/01/2009;22;106;LANMAM;62
18/01/2009;22;106;LANMAM;81
18/01/2009;22;106;LANMAM;63
18/01/2009;22;106;LANMAM;52
18/01/2009;22;106;LANMAM;67
18/01/2009;22;106;LANMAM;81
18/01/2009;22;106;LANMAM;74
18/01/2009;22;106;LANMAM;93
18/01/2009;22;106;LANMAM;65
18/01/2009;22;106;LANMAM;87
18/01/2009;22;106;LANMAM;74
18/01/2009;22;106;LANMAM;63
18/01/2009;22;106;LANMAM;65
18/01/2009;22;106;LANMAM;82
18/01/2009;22;106;LANMAM;97
18/01/2009;22;106;LANMAM;64
18/01/2009;22;106;LANMAM;93
18/01/2009;22;106;LANMAM;61
18/01/2009;22;106;LANMAM;74
20/01/2009;22;107;LANMAM;78
20/01/2009;22;107;LANMAM;56
20/01/2009;22;107;LANMAM;65
20/01/2009;22;107;LANMAM;74
20/01/2009;22;107;LANMAM;78
20/01/2009;22;107;LANMAM;66
20/01/2009;22;107;LANMAM;54
20/01/2009;22;107;LANMAM;97
20/01/2009;22;107;LANMAM;64
20/01/2009;22;107;LANMAM;81
20/01/2009;22;107;LANMAM;93
20/01/2009;22;107;LANMAM;62
20/01/2009;22;107;LANMAM;79
20/01/2009;22;107;LANMAM;95
20/01/2009;22;107;LANMAM;58
20/01/2009;22;107;LANMAM;74
20/01/2009;22;107;LANMAM;93
20/01/2009;22;107;LANMAM;81
20/01/2009;22;107;LANMAM;64
20/01/2009;22;107;LANMAM;72
20/01/2009;22;107;LANMAM;66
20/01/2009;22;107;LANMAM;91
20/01/2009;22;107;LANMAM;63
20/01/2009;22;107;LANMAM;66
20/01/2009;22;107;LANMAM;98
20/01/2009;22;107;LANMAM;53
21/01/2009;22;106;LANMAM;7
21/01/2009;22;106;LANMAM;84
21/01/2009;22;106;LANMAM;72
21/01/2009;22;106;LANMAM;61
21/01/2009;22;106;LANMAM;93
21/01/2009;22;106;LANMAM;61
21/01/2009;22;106;LANMAM;78
21/01/2009;22;106;LANMAM;54
21/01/2009;22;106;LANMAM;65
21/01/2009;22;106;LANMAM;97
21/01/2009;22;106;LANMAM;116
21/01/2009;22;106;LANMAM;98
21/01/2009;22;106;LANMAM;101
21/01/2009;22;106;LANMAM;116
21/01/2009;22;106;LANMAM;132
21/01/2009;22;106;LANMAM;119
21/01/2009;22;106;LANMAM;115
21/01/2009;22;106;LANMAM;96
21/01/2009;22;106;LANMAM;84
21/01/2009;22;106;LANMAM;72
21/01/2009;22;106;LANMAM;61
21/01/2009;22;106;LANMAM;97
21/01/2009;22;106;LANMAM;63
21/01/2009;22;106;LANMAM;95
21/01/2009;22;106;LANMAM;54
21/01/2009;22;106;LANMAM;61
21/01/2009;22;106;LANMAM;73
27/01/2009;14;103;LANMAM;56
27/01/2009;14;103;LANMAM;72
27/01/2009;14;103;LANMAM;61
27/01/2009;14;103;LANMAM;73
27/01/2009;14;103;LANMAM;87
27/01/2009;14;103;LANMAM;56
27/01/2009;14;103;LANMAM;65
27/01/2009;14;103;LANMAM;78
27/01/2009;14;103;LANMAM;64
27/01/2009;14;103;LANMAM;62
27/01/2009;14;103;LANMAM;56
27/01/2009;14;103;LANMAM;89
27/01/2009;14;103;LANMAM;93
27/01/2009;14;103;LANMAM;62
27/01/2009;14;103;LANMAM;106
27/01/2009;14;103;LANMAM;119
27/01/2009;14;103;LANMAM;117
27/01/2009;14;103;LANMAM;63
27/01/2009;14;103;LANMAM;98
27/01/2009;14;103;LANMAM;97
27/01/2009;14;103;LANMAM;65
27/01/2009;14;103;LANMAM;72
27/01/2009;14;103;LANMAM;81
27/01/2009;14;103;LANMAM;64
27/01/2009;14;103;LANMAM;97
27/01/2009;14;103;LANMAM;63
29/01/2009;13;100;LANMAM;78
29/01/2009;13;100;LANMAM;85
29/01/2009;13;100;LANMAM;97
29/01/2009;13;100;LANMAM;103
29/01/2009;13;100;LANMAM;119
29/01/2009;13;100;LANMAM;117
29/01/2009;13;100;LANMAM;63
29/01/2009;13;100;LANMAM;98
29/01/2009;13;100;LANMAM;54
29/01/2009;13;100;LANMAM;62
29/01/2009;13;100;LANMAM;97
29/01/2009;13;100;LANMAM;101
29/01/2009;13;100;LANMAM;116
29/01/2009;13;100;LANMAM;95
29/01/2009;13;100;LANMAM;87
