FECHA;LATITUD;LONGITUD;TIPO;TALLA
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;82
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;80
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;74
20/01/2011;18;103;LANMAM;78
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;86
20/01/2011;18;103;LANMAM;74
20/01/2011;18;103;LANMAM;78
20/01/2011;18;103;LANMAM;70
20/01/2011;18;103;LANMAM;82
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;86
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;78
20/01/2011;18;103;LANMAM;74
20/01/2011;18;103;LANMAM;80
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;84
20/01/2011;18;103;LANMAM;75
20/01/2011;18;103;LANMAM;78
20/01/2011;18;103;LANMAM;80
20/01/2011;18;103;LANMAM;77
20/01/2011;18;103;LANMAM;74
20/01/2011;18;103;LANMAM;77
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;145
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;156
24/01/2011;8;101;LANMAM;148
24/01/2011;8;101;LANMAM;162
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;135
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;137
24/01/2011;8;101;LANMAM;142
24/01/2011;8;101;LANMAM;155
24/01/2011;8;101;LANMAM;148
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;147
24/01/2011;8;101;LANMAM;152
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;158
24/01/2011;8;101;LANMAM;145
24/01/2011;8;101;LANMAM;137
24/01/2011;8;101;LANMAM;142
24/01/2011;8;101;LANMAM;146
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;150
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;138
24/01/2011;8;101;LANMAM;145
24/01/2011;8;101;LANMAM;148
24/01/2011;8;101;LANMAM;140
24/01/2011;8;101;LANMAM;147
25/01/2011;8;103;LANMAM;140
25/01/2011;8;103;LANMAM;155
25/01/2011;8;103;LANMAM;104
25/01/2011;8;103;LANMAM;140
25/01/2011;8;103;LANMAM;135
25/01/2011;8;103;LANMAM;108
25/01/2011;8;103;LANMAM;156
