datenum,oni
712238,-1.4
712269,-1.2
712297,-1.1
712328,-1.2
712358,-1.1
712389,-0.9
712419,-0.6
712450,-0.6
712481,-0.5
712511,-0.6
712542,-0.7
712572,-0.8
712603,-0.8
712634,-0.6
712662,-0.2
712693,0.2
712723,0.2
712754,0.4
712784,0.5
712815,0.7
712846,0.8
712876,0.9
712907,0.7
712937,0.6
712968,0.5
712999,0.4
713028,0.4
713059,0.4
713089,0.4
713120,0.2
713150,0
713181,0.1
713212,0.2
713242,0.2
713273,0.2
713303,0.3
713334,0.5
713365,0.6
713393,0.7
713424,0.7
713454,0.7
713485,0.7
713515,0.7
713546,0.7
713577,0.8
713607,0.8
713638,0.8
713668,0.7
713699,0.7
713730,0.4
713758,0
713789,-0.4
713819,-0.5
713850,-0.5
713880,-0.5
713911,-0.7
713942,-0.7
713972,-0.6
714003,-0.5
714033,-0.5
714064,-0.6
714095,-0.6
714123,-0.7
714154,-0.7
714184,-0.7
714215,-0.6
714245,-0.6
714276,-0.6
714307,-1
714337,-1.4
714368,-1.6
714398,-1.4
714429,-0.9
714460,-0.6
714489,-0.6
714520,-0.5
714550,-0.5
714581,-0.4
714611,-0.5
714642,-0.5
714673,-0.4
714703,-0.4
714734,-0.5
714764,-0.4
714795,-0.3
714826,0
714854,0.3
714885,0.6
714915,0.7
714946,0.9
714976,1
715007,1.2
715038,1.1
715068,1.2
715099,1.3
715129,1.6
715160,1.7
715191,1.5
715219,1.2
715250,0.8
715280,0.7
715311,0.6
715341,0.5
715372,0.4
715403,0.4
715433,0.5
715464,0.6
715494,0.6
715525,0.6
715556,0.5
715584,0.4
715615,0.2
715645,0.1
715676,-0.2
715706,-0.3
715737,-0.3
715768,-0.1
715798,-0.1
715829,-0.1
715859,-0.1
715890,-0.1
715921,-0.2
715950,-0.1
715981,0
716011,-0.1
716042,-0.2
716072,0
716103,0.1
716134,0.2
716164,0.1
716195,0
716225,0
716256,0
716287,0
716315,-0.1
716346,0
716376,0.1
716407,0.2
716437,0.1
716468,-0.1
716499,-0.3
716529,-0.3
716560,-0.2
716590,-0.2
716621,-0.2
716652,-0.2
716680,-0.2
716711,-0.3
716741,-0.3
716772,-0.2
716802,-0.1
716833,-0.2
716864,-0.2
716894,-0.3
716925,-0.3
716955,-0.4
716986,-0.4
717017,-0.2
717045,0.1
717076,0.2
717106,0.2
717137,0.4
717167,0.7
717198,1
717229,1.1
717259,1.2
717290,1.2
717320,1.1
717351,1
717382,0.6
717411,0.1
717442,-0.3
717472,-0.6
717503,-0.6
717533,-0.7
717564,-0.7
717595,-0.8
717625,-0.8
717656,-0.8
717686,-0.8
717717,-0.5
717748,-0.3
717776,-0.1
717807,0.1
717837,0.4
717868,0.7
717898,1
717929,1.3
717960,1.6
717990,1.7
718021,1.8
718051,1.5
718082,1.3
718113,1
718141,0.9
718172,0.6
718202,0.3
718233,0.2
718263,0.2
718294,0.1
718325,0
718355,-0.1
718386,-0.1
718416,-0.3
718447,-0.4
718478,-0.5
718506,-0.5
718537,-0.5
718567,-0.2
718598,0
718628,0
718659,-0.2
718690,-0.3
718720,-0.4
718751,-0.4
718781,-0.5
718812,-0.7
718843,-0.8
718872,-0.7
718903,-0.5
718933,-0.1
718964,0.2
718994,0.5
719025,0.4
719056,0.3
719086,0.4
719117,0.6
719147,0.8
719178,0.9
719209,1
719237,0.9
719268,0.7
719298,0.6
719329,0.5
719359,0.4
719390,0.5
719421,0.8
719451,0.8
719482,0.8
719512,0.7
719543,0.6
719574,0.4
719602,0.4
719633,0.3
