datenum;oni;soi;Fecha;Dia;Mes;Ano
712238;-1.4;0.5;15/01/1950;15;1;1950
712269;-1.2;2.1;15/02/1950;15;2;1950
712297;-1.1;1.9;15/03/1950;15;3;1950
712328;-1.2;1.2;15/04/1950;15;4;1950
712358;-1.1;0.6;15/05/1950;15;5;1950
712389;-0.9;2;15/06/1950;15;6;1950
712419;-0.6;2;15/07/1950;15;7;1950
712450;-0.6;1.1;15/08/1950;15;8;1950
712481;-0.5;0.7;15/09/1950;15;9;1950
712511;-0.6;1.6;15/10/1950;15;10;1950
712542;-0.7;1;15/11/1950;15;11;1950
712572;-0.8;2.7;15/12/1950;15;12;1950
712603;-0.8;2.5;15/01/1951;15;1;1951
712634;-0.6;1.5;15/02/1951;15;2;1951
712662;-0.2;-0.2;15/03/1951;15;3;1951
712693;0.2;-0.5;15/04/1951;15;4;1951
712723;0.2;-1.1;15/05/1951;15;5;1951
712754;0.4;0.3;15/06/1951;15;6;1951
712784;0.5;-1.7;15/07/1951;15;7;1951
712815;0.7;-0.4;15/08/1951;15;8;1951
712846;0.8;-1.8;15/09/1951;15;9;1951
712876;0.9;-1.6;15/10/1951;15;10;1951
712907;0.7;-1.3;15/11/1951;15;11;1951
712937;0.6;-1.2;15/12/1951;15;12;1951
712968;0.5;-1.5;15/01/1952;15;1;1952
712999;0.4;-1;15/02/1952;15;2;1952
713028;0.4;0.9;15/03/1952;15;3;1952
713059;0.4;-0.4;15/04/1952;15;4;1952
713089;0.4;1.2;15/05/1952;15;5;1952
713120;0.2;1.2;15/06/1952;15;6;1952
713150;0;0.8;15/07/1952;15;7;1952
713181;0.1;0.1;15/08/1952;15;8;1952
713212;0.2;-0.4;15/09/1952;15;9;1952
713242;0.2;0.6;15/10/1952;15;10;1952
713273;0.2;0;15/11/1952;15;11;1952
713303;0.3;-2;15/12/1952;15;12;1952
713334;0.5;0.5;15/01/1953;15;1;1953
713365;0.6;-0.8;15/02/1953;15;2;1953
713393;0.7;-0.3;15/03/1953;15;3;1953
